TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
TC-CDSPI-MM-NEG-006,Manual,Reject invalid effective date,Validate configured effective-date constraints,"1. Enter an invalid or disallowed effective date [TBD]; 2. Complete the remaining fields; 3. Click Continue","The date is rejected and the configured date validation message is displayed",CDSPI Medmal/Validation,Todo,Policy Setup,CDSPI Medical Malpractice,High,Negative
TC-CDSPI-MM-NEG-007,Manual,Reject unavailable coverage limit,Validate that an unconfigured coverage limit cannot be selected or submitted,"1. Complete valid risk information; 2. Attempt to select or enter an unavailable coverage limit [TBD]; 3. Click Continue","The unavailable limit cannot be submitted and the system displays the configured validation message",CDSPI Medmal/Coverage Validation,Todo,Coverage,CDSPI Medical Malpractice,High,Negative
TC-CDSPI-MM-NEG-008,Manual,Reject unavailable deductible,Validate that an unconfigured deductible cannot be selected or submitted,"1. Complete valid risk information; 2. Attempt to select or enter an unavailable deductible [TBD]; 3. Click Continue","The unavailable deductible cannot be submitted and the system displays the configured validation message",CDSPI Medmal/Coverage Validation,Todo,Coverage,CDSPI Medical Malpractice,Medium,Negative
TC-CDSPI-MM-NEG-009,Manual,Block quote when required data is incomplete,Validate that incomplete information prevents quoting,"1. Complete only part of the required applicant and risk information; 2. Click Quote","Field-level validation messages identify incomplete data and no quote is completed",CDSPI Medmal/Validation,Todo,Rating Engine,CDSPI Medical Malpractice,Critical,Negative
TC-CDSPI-MM-NEG-010,Manual,Create underwriting referral for qualifying risk,Validate configured referral behavior for a risk requiring review,"1. Enter risk data that meets a referral condition [TBD]; 2. Complete coverage selection; 3. Click Quote or Bind","The system creates the configured underwriting referral displays the referral status and prevents completion until resolved",CDSPI Medmal/Underwriting Referral,Todo,Underwriting Rules,CDSPI Medical Malpractice,Critical,Negative
TC-CDSPI-MM-NEG-011,Manual,Prevent bind while referral is unresolved,Validate that an unresolved referral blocks policy completion,"1. Create a qualifying referral; 2. Leave the referral unresolved; 3. Click Bind","Binding is blocked and the unresolved referral action is clearly displayed",CDSPI Medmal/Underwriting Referral,Todo,Policy Workflow,CDSPI Medical Malpractice,Critical,Negative
TC-CDSPI-MM-BND-001,Manual,Accept minimum valid years in practice,Validate the configured minimum boundary for years in practice,"1. Enter the minimum valid years in practice [TBD]; 2. Complete other required data; 3. Continue","The minimum valid value is accepted",CDSPI Medmal/Boundary,Todo,Underwriting Rules,CDSPI Medical Malpractice,Medium,Boundary
TC-CDSPI-MM-BND-002,Manual,Reject years below configured minimum,Validate lower-bound behavior for years in practice,"1. Enter a value below the configured minimum [TBD]; 2. Complete other required data; 3. Continue","The value is rejected and the configured range validation message is displayed",CDSPI Medmal/Boundary,Todo,Underwriting Rules,CDSPI Medical Malpractice,Medium,Boundary
TC-CDSPI-MM-BND-003,Manual,Accept maximum valid years in practice,Validate the configured maximum boundary for years in practice,"1. Enter the maximum valid years in practice [TBD]; 2. Complete other required data; 3. Continue","The maximum valid value is accepted",CDSPI Medmal/Boundary,Todo,Underwriting Rules,CDSPI Medical Malpractice,Medium,Boundary
TC-CDSPI-MM-BND-004,Manual,Reject years above configured maximum,Validate upper-bound behavior for years in practice,"1. Enter a value above the configured maximum [TBD]; 2. Complete other required data; 3. Continue","The value is rejected and the configured range validation message is displayed",CDSPI Medmal/Boundary,Todo,Underwriting Rules,CDSPI Medical Malpractice,Medium,Boundary
TC-CDSPI-MM-UI-001,Manual,Verify dependent risk fields,Validate that conditional fields appear when a configured answer requires additional information,"1. Select a risk answer that triggers additional information [TBD]; 2. Observe the form","The dependent field or section appears and is marked required when configured",CDSPI Medmal/Conditional Fields,Todo,Policy Setup,CDSPI Medical Malpractice,Medium,UI_Elements
TC-CDSPI-MM-UI-002,Manual,Clear conditional risk fields,Validate that dependent fields respond when the triggering answer is changed,"1. Trigger a conditional field; 2. Enter a value; 3. Change the triggering answer so the field is not applicable","The dependent field is hidden or disabled and its value is cleared or ignored according to configuration",CDSPI Medmal/Conditional Fields,Todo,Policy Setup,CDSPI Medical Malpractice,Medium,UI_Elements
TC-CDSPI-MM-UI-003,Manual,Correct validation error and continue,Validate recovery after invalid information is corrected,"1. Submit an incomplete or invalid form; 2. Correct each highlighted field with valid data; 3. Click Continue","Validation messages clear after correction and the workflow proceeds",CDSPI Medmal/Error Recovery,Todo,Policy Setup,CDSPI Medical Malpractice,High,State_Management
TC-CDSPI-MM-WF-001,Manual,Retain data after save and return,Validate that saved data persists across workflow navigation,"1. Enter valid applicant risk and coverage data; 2. Save; 3. Navigate away; 4. Return to the transaction","All saved data is retained and displayed in the corresponding sections",CDSPI Medmal/Workflow Persistence,Todo,Policy Workflow,CDSPI Medical Malpractice,High,Workflow
TC-CDSPI-MM-DOC-001,Manual,Attach correct CDSPI documents after quote,Validate document attachment for a quoted eligible transaction,"1. Complete valid data and coverage; 2. Quote the policy; 3. Open the document list","Required CDSPI Medical Malpractice documents are attached with the configured version and effective date",CDSPI Medmal/Documents,Todo,Document Service,CDSPI Medical Malpractice,High,Positive
TC-CDSPI-MM-DOC-002,Manual,Generate correct documents at issue,Validate document generation during policy issuance,"1. Complete all validations and approvals; 2. Issue the policy; 3. Open generated documents","Required issued-policy documents are generated and the correct form editions are displayed",CDSPI Medmal/Documents,Todo,Document Service,CDSPI Medical Malpractice,High,Positive
TC-CDSPI-MM-AUD-001,Manual,Verify transaction audit history,Validate retention of inputs changes referrals approvals and documents,"1. Complete a transaction with a saved change and referral; 2. Resolve required approval; 3. Open transaction history","The audit history displays relevant inputs changes referrals approvals and generated documents",CDSPI Medmal/Audit History,Todo,Audit Trail,CDSPI Medical Malpractice,Medium,Data_Handling
